No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	
DSQ
169	Shindo	Naoki	JPN	4		64.8	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
170	Sklenar	Jason	GBR	6		67.3	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
171	Antzas	Agelos	GRE	4		94.3	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
172	Nikitinas	Leonidas	LTU	2		84.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
173	Hoerl	Walter	AUT	4		68.8	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
174	Bordeleau	Luc	CAN	2		71.0	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
175	Lepyoshkin	Mikhail	KAZ	1		93.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
176	Hakkinen	Jay	USA	3		80.3	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
177	Christoforidis	Stavros	GRE	8		89.3	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
178	Nygard	Jon Per	NOR	2		54.0	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
179	Jeon	Ja-Won	KOR	1		104.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
180	Menshikov	Alexandre	KAZ	1		105.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
