√No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
61	Sanfilippo	Federica	ITA	15	57	40.9	4.4	0	0	0	0	0	0	1	2	6	9	0	0	0
62	Tachizaki	Fuyuko	JPN	13	61	49.8	4.2	0	0	0	0	0	0	1	2	4	9	0	0	0
63	Magnusson	Anna	SWE	6	64	47.0	8.3	0	0	0	0	0	0	1	2	3	3	0	0	0
64	Derbusheva	Tamara	RUS	5	67	42.4	8.8	0	0	0	0	0	0	1	2	3	2	0	0	0
65	Kalkenberg	Emilie Aagheim	NOR	4	68	43.8	10.3	0	0	0	0	0	0	1	2	2	2	0	0	0
66	Tang	Jialin	CHN	14	63	44.3	3.6	0	0	0	0	0	0	1	1	5	9	0	0	0
67	Jislova	Jessica	CZE	12	65	52.5	3.7	0	0	0	0	0	0	1	1	4	8	0	0	0
68	Colombo	Caroline	FRA	10	69	49.8	3.5	0	0	0	0	0	0	1	1	4	6	0	0	0
69	Solemdal	Synnoeve	NOR	10	51	36.8	8.8	0	0	0	0	0	0	0	5	8	2	0	0	0
70	Hettich	Janina	GER	9	66	48.4	5.0	0	0	0	0	0	0	0	2	4	5	0	0	0
71	Minkkinen	Suvi	FIN	12	70	59.1	3.1	0	0	0	0	0	0	0	1	6	6	0	0	0
72	Talihaerm	Johanna	EST	15	72	54.1	1.7	0	0	0	0	0	0	0	1	3	12	0	0	0
73	Einfalt	Lea	SLO	11	75	64.4	1.4	0	0	0	0	0	0	0	1	2	9	0	0	0
74	Gontier	Nicole	ITA	7	78	58.4	2.0	0	0	0	0	0	0	0	1	2	5	0	0	0
75	Frolina	Anna	KOR	12	73	61.5	1.6	0	0	0	0	0	0	0	1	1	11	0	0	0
76	Zdouc	Dunja	AUT	8	74	62.9	1.6	0	0	0	0	0	0	0	1	1	7	0	0	0
77	Gaim	Grete	EST	7	77	80.1	2.0	0	0	0	0	0	0	0	1	1	6	0	0	0
78	Hammerschmidt	Maren	GER	5	79	49.6	2.6	0	0	0	0	0	0	0	1	1	4	0	0	0
79	Reid	Joanne	USA	8	81	61.5	1.3	0	0	0	0	0	0	0	1	1	7	0	0	0
80	Porshneva	Anastasiia	RUS	1	82	29.0	12.0	0	0	0	0	0	0	0	1	1	0	0	0	0
81	Chu	Yuanmeng	CHN	12	80	55.3	1.1	0	0	0	0	0	0	0	0	3	9	0	0	0
82	Alimbekava	Dzinara	BLR	9	76	58.6	1.7	0	0	0	0	0	0	0	0	2	6	1	0	0
83	Meng	Fanqi	CHN	9	92	57.8	0.6	0	0	0	0	0	0	0	0	2	7	0	0	0
84	Meinen	Susanna	SUI	2	83	41.5	5.0	0	0	0	0	0	0	0	0	1	1	0	0	0
85	Andersson	Ingela	SWE	2	84	41.0	4.5	0	0	0	0	0	0	0	0	1	1	0	0	0
86	Moser	Nadia	CAN	11	85	66.9	0.7	0	0	0	0	0	0	0	0	1	10	0	0	0
87	Hildebrand	Franziska	GER	6	86	51.0	1.3	0	0	0	0	0	0	0	0	1	5	0	0	0
88	Bankes	Megan	CAN	8	87	71.5	0.9	0	0	0	0	0	0	0	0	1	7	0	0	0
89	Hoegberg	Elisabeth	SWE	4	88	46.0	1.4	0	0	0	0	0	0	0	0	1	3	0	0	0
90	Kocergina	Natalja	LTU	13	89	69.3	0.5	0	0	0	0	0	0	0	0	1	12	0	0	0
91	Kondratyeva	Anastassiya	KAZ	11	90	79.3	0.6	0	0	0	0	0	0	0	0	1	10	0	0	0
92	Kadeva	Daniela	BUL	10	91	76.3	0.5	0	0	0	0	0	0	0	0	1	9	0	0	0
93	Nilsson	Emma	SWE	5	93	48.4	0.2	0	0	0	0	0	0	0	0	1	4	0	0	0
94	Vitkova	Veronika	CZE	2		45.0	0.0	0	0	0	0	0	0	0	0	0	1	0	1	0
95	Wiesensarter	Marion	GER	3		54.3	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
96	Lie	Lotte	BEL	5		55.8	0.0	0	0	0	0	0	0	0	0	0	4	1	0	0
97	Weidel	Anna	GER	4		56.5	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
98	Maeda	Sari	JPN	10		59.1	0.0	0	0	0	0	0	0	0	0	0	10	0	0	0
99	Scherer	Stefanie	GER	1		62.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
100	Vinklarkova	Tereza	CZE	1		62.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
101	Kruchinkina	Irina	BLR	9		62.8	0.0	0	0	0	0	0	0	0	0	0	9	0	0	0
102	Belchenko	Yelizaveta	KAZ	9		62.9	0.0	0	0	0	0	0	0	0	0	0	9	0	0	0
103	Dickson	Emily	CAN	6		63.0	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
104	Slivko	Victoria	RUS	2		63.0	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
105	Cadurisch	Irene	SUI	6		63.5	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
106	Gwizdon	Magdalena	POL	8		65.4	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
107	Bielkina	Nadiia	UKR	1		66.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
