"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Japan","2015","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2017","0","1"
"Japan","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","1003539","1"
"Japan","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","83572","1"
"Japan","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","73897","1"
"Japan","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","79340","1"
"Japan","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","78834","1"
"Japan","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","83310","1"
"Japan","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","81401","1"
"Japan","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","89516","1"
"Japan","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","87732","1"
"Japan","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","90309","1"
"Japan","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","88592","1"
"Japan","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","80993","1"
"Japan","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","86043","1"
"Japan","2014","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2016","0","1"
"Japan","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","1029816","1"
"Japan","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","85853","1"
"Japan","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","77066","1"
"Japan","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","82997","1"
"Japan","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","81856","1"
"Japan","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","85297","1"
"Japan","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","82397","1"
"Japan","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","91467","1"
"Japan","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","92118","1"
"Japan","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","90618","1"
"Japan","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","90667","1"
"Japan","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","83126","1"
"Japan","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","86354","1"
"Japan","2013","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2015","0","1"
"Japan","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2014","1037231","1"
"Japan","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2014","87680","1"
"Japan","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2014","81469","1"
"Japan","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2014","83749","1"
"Japan","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2014","81718","1"
"Japan","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2014","85841","1"
"Japan","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2014","83451","1"
"Japan","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2014","90537","1"
"Japan","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2014","90906","1"
"Japan","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2014","89758","1"
"Japan","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2014","90438","1"
"Japan","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2014","85577","1"
"Japan","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2014","86107","1"
