"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Belarus","1997","Total","May","Data tabulated by year of occurrence","Final figure, complete","1998","7914","1"
"Belarus","1997","Total","June","Data tabulated by year of occurrence","Final figure, complete","1998","7377","1"
"Belarus","1997","Total","July","Data tabulated by year of occurrence","Final figure, complete","1998","8306","1"
"Belarus","1997","Total","August","Data tabulated by year of occurrence","Final figure, complete","1998","7801","1"
"Belarus","1997","Total","September","Data tabulated by year of occurrence","Final figure, complete","1998","7070","1"
"Belarus","1997","Total","October","Data tabulated by year of occurrence","Final figure, complete","1998","7691","1"
"Belarus","1997","Total","November","Data tabulated by year of occurrence","Final figure, complete","1998","6498","1"
"Belarus","1997","Total","December","Data tabulated by year of occurrence","Final figure, complete","1998","7080","1"
"Belarus","1996","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1997","95798",""
"Belarus","1996","Total","January","Data tabulated by year of occurrence","Final figure, complete","1997","9173",""
"Belarus","1996","Total","February","Data tabulated by year of occurrence","Final figure, complete","1997","7823",""
"Belarus","1996","Total","March","Data tabulated by year of occurrence","Final figure, complete","1997","8485",""
"Belarus","1996","Total","April","Data tabulated by year of occurrence","Final figure, complete","1997","8646",""
"Belarus","1996","Total","May","Data tabulated by year of occurrence","Final figure, complete","1997","8627",""
"Belarus","1996","Total","June","Data tabulated by year of occurrence","Final figure, complete","1997","8212",""
"Belarus","1996","Total","July","Data tabulated by year of occurrence","Final figure, complete","1997","8568",""
"Belarus","1996","Total","August","Data tabulated by year of occurrence","Final figure, complete","1997","8090",""
"Belarus","1996","Total","September","Data tabulated by year of occurrence","Final figure, complete","1997","7171",""
"Belarus","1996","Total","October","Data tabulated by year of occurrence","Final figure, complete","1997","7393",""
"Belarus","1996","Total","November","Data tabulated by year of occurrence","Final figure, complete","1997","6878",""
"Belarus","1996","Total","December","Data tabulated by year of occurrence","Final figure, complete","1997","6732",""
"Belarus","1995","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1996","101144",""
"Belarus","1995","Total","January","Data tabulated by year of occurrence","Final figure, complete","1996","9590",""
"Belarus","1995","Total","February","Data tabulated by year of occurrence","Final figure, complete","1996","8163",""
"Belarus","1995","Total","March","Data tabulated by year of occurrence","Final figure, complete","1996","9044",""
"Belarus","1995","Total","April","Data tabulated by year of occurrence","Final figure, complete","1996","9063",""
"Belarus","1995","Total","May","Data tabulated by year of occurrence","Final figure, complete","1996","9236",""
"Belarus","1995","Total","June","Data tabulated by year of occurrence","Final figure, complete","1996","8976",""
"Belarus","1995","Total","July","Data tabulated by year of occurrence","Final figure, complete","1996","9220",""
"Belarus","1995","Total","August","Data tabulated by year of occurrence","Final figure, complete","1996","8745",""
"Belarus","1995","Total","September","Data tabulated by year of occurrence","Final figure, complete","1996","7802",""
"Belarus","1995","Total","October","Data tabulated by year of occurrence","Final figure, complete","1996","7676",""
"Belarus","1995","Total","November","Data tabulated by year of occurrence","Final figure, complete","1996","7024",""
"Belarus","1995","Total","December","Data tabulated by year of occurrence","Final figure, complete","1996","6605",""
"Belarus","1994","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1996","110599",""
"Belarus","1994","Total","January","Data tabulated by year of occurrence","Final figure, complete","1996","10363",""
"Belarus","1994","Total","February","Data tabulated by year of occurrence","Final figure, complete","1996","9082",""
"Belarus","1994","Total","March","Data tabulated by year of occurrence","Final figure, complete","1996","10342",""
"Belarus","1994","Total","April","Data tabulated by year of occurrence","Final figure, complete","1996","10066",""
"Belarus","1994","Total","May","Data tabulated by year of occurrence","Final figure, complete","1996","9951",""
"Belarus","1994","Total","June","Data tabulated by year of occurrence","Final figure, complete","1996","9796",""
"Belarus","1994","Total","July","Data tabulated by year of occurrence","Final figure, complete","1996","9904",""
"Belarus","1994","Total","August","Data tabulated by year of occurrence","Final figure, complete","1996","9307",""
"Belarus","1994","Total","September","Data tabulated by year of occurrence","Final figure, complete","1996","8492",""
"Belarus","1994","Total","October","Data tabulated by year of occurrence","Final figure, complete","1996","8285",""
"Belarus","1994","Total","November","Data tabulated by year of occurrence","Final figure, complete","1996","7638",""
"Belarus","1994","Total","December","Data tabulated by year of occurrence","Final figure, complete","1996","7373",""
"Belarus","1993","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1995","117384",""
"Belarus","1993","Total","January","Data tabulated by year of occurrence","Final figure, complete","1995","11064",""
"Belarus","1993","Total","February","Data tabulated by year of occurrence","Final figure, complete","1995","9418",""
