"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Norway","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","4926",""
"Norway","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","5022",""
"Norway","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","5461",""
"Norway","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","5166",""
"Norway","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","5662",""
"Norway","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","5232",""
"Norway","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","4813",""
"Norway","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","4732",""
"Norway","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","4393",""
"Norway","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","4247",""
"Norway","2013","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2015","0",""
"Norway","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","60255",""
"Norway","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","4956",""
"Norway","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","4636",""
"Norway","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","5173",""
"Norway","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","4880",""
"Norway","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","5345",""
"Norway","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","5354",""
"Norway","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","5587",""
"Norway","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","5528",""
"Norway","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","5087",""
"Norway","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","4833",""
"Norway","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","4469",""
"Norway","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","4407",""
"Norway","2012","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Norway","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","60220",""
"Norway","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","4993",""
"Norway","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","4482",""
"Norway","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","4930",""
"Norway","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","5149",""
