,Unnamed: 0,depth,rate,weight,lambdas,model,test_error,training_error
86,86.0,,,,,86.0,0.4007461610844268,4.4603689762001686e-05
87,87.0,,,,,87.0,0.406420992246423,4.975026934961324e-05
88,88.0,,,,,88.0,0.3877239837099627,0.000137242122344
89,89.0,,,,,89.0,0.3857124492644627,0.0001252334366388
90,90.0,,,,,90.0,0.3858979320246878,0.0001132247509338
91,91.0,,,,,91.0,0.3847842429112256,0.000137242122344
92,92.0,,,,,92.0,0.3842453772015807,0.000233311607985
93,93.0,,,,,93.0,0.3812968695214253,0.0003345276732138
94,94.0,,,,,94.0,0.3807923764017306,0.0002659066120418
95,95.0,,,,,95.0,0.3872427186424664,0.0002847774038641
96,96.0,,,,,96.0,0.3433908242732539,0.0156984804877651
97,97.0,,,,,97.0,0.3436098870713181,0.0156967649612358
98,98.0,,,,,98.0,0.3436042903983449,0.0156984804877651
99,99.0,,,,,99.0,0.3386817910710845,0.0157190668061167
100,100.0,,,,,100.0,0.3282124891244882,0.0186641100590858
101,101.0,,,,,101.0,0.3277967502202527,0.0186829808509081
102,102.0,,,,,102.0,0.3278303302580916,0.0186641100590858
103,103.0,,,,,103.0,0.3237009245806015,0.018719249845958
104,104.0,,,,,104.0,0.3247395280972738,0.0219880267761087
105,105.0,,,,,105.0,0.3237897276042554,0.0219845957230501
106,106.0,,,,,106.0,0.3241886764895713,0.0219880267761087
107,107.0,,,,,107.0,0.324279015809253,0.0219760180904035
108,108.0,,,,,108.0,0.3634616998146357,0.000226449501868
109,109.0,,,,,109.0,0.3590948562159396,0.0002487513467488
110,110.0,,,,,110.0,0.3655507951296487,0.0002195873957505
111,111.0,,,,,111.0,0.3657210729751768,0.0002418892406316
112,112.0,,,,,112.0,0.3520489377919107,0.0007531161463636
113,113.0,,,,,113.0,0.357083370578634,0.0007033658770138
114,114.0,,,,,114.0,0.3510087979792105,0.000720521142307
115,,,,,,115.0,0.35850646180984225,0.0006965037708966948
116,,,,,,116.0,0.352465518056452,0.001254049892919995
117,,,,,,117.0,0.35339213930546676,0.0013243864806212757
118,,,,,,118.0,0.3582546603342448,0.0012300325215096608
119,,,,,,119.0,0.34744629018442563,0.001374136749971111
120,,,,,,120.0,0.3867557592856079,1.5439738763722843e-05
121,,,,,,121.0,0.3771010475121742,1.5439738763722843e-05
122,,,,,,122.0,0.3849848817779533,1.200868570516711e-05
123,,,,,,123.0,0.3858795080933515,2.401737141033422e-05
124,,,,,,124.0,0.37268145620038606,8.749185299428142e-05
125,,,,,,125.0,0.3738783028563346,7.205211423078062e-05
126,,,,,,126.0,0.37463142724318155,7.205211423055857e-05
127,,,,,,127.0,0.3740469955976402,7.71986938185032e-05
128,,,,,,128.0,0.36551558117939287,0.0001749837059888959
129,,,,,,129.0,0.3750559818370297,0.00021272528963356407
130,,,,,,130.0,0.36891984583490156,0.00021958739575078656
131,,,,,,131.0,0.38135679901171304,0.00021615634269200878
132,,,,,,132.0,0.38459950389491715,3.4310530586667554e-06
133,,,,,,133.0,0.3912920881777209,3.4310530586667554e-06
134,,,,,,134.0,0.38694282715005557,6.862106117222488e-06
135,,,,,,135.0,0.38478498665514227,5.146579587944622e-06
136,,,,,,136.0,0.38831158556394907,2.7448424468889954e-05
137,,,,,,137.0,0.3802134926209678,1.88707918223896e-05
138,,,,,,138.0,0.3817077554966045,2.2301844880945332e-05
139,,,,,,139.0,0.3891726318415084,1.88707918223896e-05
140,,,,,,140.0,0.37404620304552905,6.690553464294702e-05
141,,,,,,141.0,0.37672290021452814,7.03365877012807e-05
142,,,,,,142.0,0.3815950294850302,5.661237546683573e-05
143,,,,,,143.0,0.3825560233239951,7.205211423055857e-05
